"27","Jun 14, 2023 19:29:32.838536000 +0530","192.168.2.17","31.13.79.53","6","12228","443",,,"122","1","0","0","0","1","0","TLSv1.2","f8:a2:d6:73:99:a7","dc:a6:32:3f:a1:c7"
"28","Jun 14, 2023 19:29:32.916166000 +0530","31.13.79.53","192.168.2.17","6","443","12228",,,"60","1","0","0","0","0","0","TCP","dc:a6:32:3f:a1:c7","f8:a2:d6:73:99:a7"
"29","Jun 14, 2023 19:29:33.175408000 +0530","31.13.79.53","192.168.2.17","6","443","12228",,,"124","1","0","0","0","1","0","TLSv1.2","dc:a6:32:3f:a1:c7","f8:a2:d6:73:99:a7"
"30","Jun 14, 2023 19:29:33.217719000 +0530","192.168.2.17","31.13.79.53","6","12228","443",,,"60","1","0","0","0","0","0","TCP","f8:a2:d6:73:99:a7","dc:a6:32:3f:a1:c7"
"31","Jun 14, 2023 19:29:34.062985000 +0530","192.168.2.62","255.255.255.255","17",,,"59800","6667","214",,,,,,,"UDP","84:e3:42:e1:52:c5","ff:ff:ff:ff:ff:ff"
"32","Jun 14, 2023 19:29:36.263059000 +0530","192.168.2.17","13.107.42.14","6","12395","443",,,"60","1","0","0","0","0","0","TCP","f8:a2:d6:73:99:a7","dc:a6:32:3f:a1:c7"
"33","Jun 14, 2023 19:29:36.278545000 +0530","13.107.42.14","192.168.2.17","6","443","12393",,,"100","1","0","0","0","1","0","TLSv1.2","dc:a6:32:3f:a1:c7","f8:a2:d6:73:99:a7"
"34","Jun 14, 2023 19:29:36.283405000 +0530","31.13.79.53","192.168.2.17","6","443","12228",,,"371","1","0","0","0","1","0","TLSv1.2","dc:a6:32:3f:a1:c7","f8:a2:d6:73:99:a7"
"35","Jun 14, 2023 19:29:36.283406000 +0530","192.168.2.17","13.107.42.14","6","12393","443",,,"109","1","0","0","0","1","0","TLSv1.2","f8:a2:d6:73:99:a7","dc:a6:32:3f:a1:c7"
"36","Jun 14, 2023 19:29:36.326671000 +0530","192.168.2.17","31.13.79.53","6","12228","443",,,"60","1","0","0","0","0","0","TCP","f8:a2:d6:73:99:a7","dc:a6:32:3f:a1:c7"
"37","Jun 14, 2023 19:29:36.351620000 +0530","13.107.42.14","192.168.2.17","6","443","12395",,,"66","1","0","0","0","0","0","TCP","dc:a6:32:3f:a1:c7","f8:a2:d6:73:99:a7"
"38","Jun 14, 2023 19:29:36.372153000 +0530","13.107.42.14","192.168.2.17","6","443","12393",,,"60","1","0","0","0","0","0","TCP","dc:a6:32:3f:a1:c7","f8:a2:d6:73:99:a7"
