Device,IP
Dialog router,192.168.8.1
windows,192.168.2.17
thermostate,192.168.2.30
kali,192.168.2.99
windows 2,192.168.2.91
broadlink,192.168.2.43
smart plug,192.168.2.62
raspberry,192.168.2.1
no,192.168.2.21
